"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Gene"
"LINC00265" -0.933765967467265 3.31579976348302 -10.4728830619163 1.5493507008172e-14 2.58826462965284e-12 22.8792750402855 "LINC00265"
"TOB1" -0.929550349921985 5.78259892254701 -8.71664882265051 7.88270518914566e-12 5.14061977441879e-10 16.7387323348212 "TOB1"
"RGS16" -0.927700617233734 2.02620548148207 -6.78297209753446 9.89152463972178e-09 2.12371730601069e-07 9.71136404330017 "RGS16"
"MT-CO3" -0.927504532653991 11.0967211878143 -6.70071633929997 1.34220900676352e-08 2.71446746890234e-07 9.41138472923759 "MT-CO3"
"MAL2" -0.923812686280904 2.59318807994125 -5.77582101415144 4.0573333703989e-07 4.8627171586762e-06 6.0688716656238 "MAL2"
"APOL6" -0.921411572592276 4.52363129234383 -5.30503704898101 2.22758292021582e-06 2.05331622917853e-05 4.40650811380903 "APOL6"
"FAP" -0.912416021991113 2.36478573685645 -4.47008066544697 4.12836872490613e-05 0.000240083245590035 1.57580030881334 "FAP"
"SPRED3" -0.911951517281909 3.02117866362433 -7.54374591462457 5.87342912368128e-10 2.0176469905153e-08 12.4901082500237 "SPRED3"
"NR4A3" -0.906666255503978 2.62048566198494 -6.48801387640588 2.95257591392196e-08 5.26413205705823e-07 8.63700694386139 "NR4A3"
"BTG1-DT" -0.904241588323445 2.78691943349266 -8.81566367835901 5.50217354640432e-12 3.72772257768893e-10 17.093174124798 "BTG1-DT"
"ZFHX2" -0.903111272247713 3.60472854167495 -5.89405476897361 2.63385158270922e-07 3.39532981513097e-06 6.49158740343174 "ZFHX2"
"ESM1" -0.902243050004982 2.58869636956114 -4.47378699167292 4.0767415306406e-05 0.000237420549026562 1.58793168975018 "ESM1"
"ALPL" 0.888564063966621 2.35665073275331 5.66690912481089 6.03242290166855e-07 6.83144391184137e-06 5.68115185567621 "ALPL"
"EFR3B" -0.887994921892829 4.01223386624389 -6.47305484944236 3.12070353096785e-08 5.52350937012379e-07 8.58263436804759 "EFR3B"
"MT-TP" -0.887721936839928 5.2679915273759 -4.83496223361938 1.17520212389679e-05 8.35661218712614e-05 2.79034381898184 "MT-TP"
"ELF3" -0.883735958069791 2.65270355612522 -4.45825379156774 4.29741080410398e-05 0.000248021413895163 1.53711926802576 "ELF3"
"CCN2" -0.883707904924139 6.83433164540592 -4.0169792801246 0.000186244931792364 0.000856431728208099 0.129389314137298 "CCN2"
"COL11A1" -0.882177286273694 2.74208460749939 -2.83031193359449 0.00654683534235703 0.017277354901546 -3.21371375890402 "COL11A1"
"MAP3K8" -0.881228360052298 3.77265481732843 -8.36109394123306 2.88530018517954e-11 1.56316827940328e-09 15.4595780730992 "MAP3K8"
"PTX3" -0.880711791957171 2.42428364207868 -4.96429251286579 7.47035876212201e-06 5.66548663582574e-05 3.22978332224081 "PTX3"
"PPME1" 0.88017955381479 7.55459590190449 8.10705694180358 7.3321053101959e-11 3.54821524832695e-09 14.5402797844265 "PPME1"
"THBS1-AS1" -0.88003990440017 3.4684782249516 -5.69991763709515 5.34997461539817e-07 6.18416497012139e-06 5.7984813370697 "THBS1-AS1"
"HEXIM1" -0.879376140072838 7.6624515737161 -8.38041265547255 2.68823125375731e-11 1.4833927664964e-09 15.5293174805963 "HEXIM1"
"ANXA2P2" 0.878869800946414 2.93486556981967 10.634206380565 8.89258278686905e-15 1.59478010420394e-12 23.4256868545951 "ANXA2P2"
"CFLAR" -0.878864777434922 7.01367338967044 -12.7546609056008 8.15654308254282e-18 5.85112017009468e-15 30.2919748618643 "CFLAR"
"PCDHA1" -0.8771546732214 3.75865384424973 -12.9134118603409 4.94494466099912e-18 4.02024000939228e-15 30.7817535347402 "PCDHA1"
"ANKRD1" -0.874888670405956 5.93298576230099 -4.75653371073171 1.54393806510819e-05 0.000105539936681583 2.52601466554146 "ANKRD1"
"NLGN3" -0.871715946657841 2.70188144358811 -7.31287784065641 1.3827697725952e-09 4.11289692117037e-08 11.6469921370286 "NLGN3"
"STAMBPL1" -0.871516948206212 5.57256901124168 -11.6997767277296 2.46327355453256e-16 7.92414002298524e-14 26.9509231677875 "STAMBPL1"
"PPP1R3C" -0.87027547810806 2.35488654290707 -8.42661571028077 2.27003596848918e-11 1.28365900072901e-09 15.6960029479614 "PPP1R3C"
"IRF1" -0.863774766191505 6.06196043185564 -5.38342243614511 1.68137945096335e-06 1.62090295687732e-05 4.68064493372936 "IRF1"
"FZD8" -0.863698525148521 3.40498009840483 -7.59244100253598 4.90391002701298e-10 1.73342558780937e-08 12.6677971037714 "FZD8"
"IRF1-AS1" -0.856655762297305 5.07830481288376 -5.82049493163536 3.4467887778203e-07 4.26736945639783e-06 6.22838093040873 "IRF1-AS1"
"PCDHA8" -0.855382798525509 3.34222901285301 -12.1243005767831 6.14365906947861e-17 3.12174676467882e-14 28.3135356558417 "PCDHA8"
"MT-CO2" -0.853564274299179 9.67552610897961 -6.12857871844368 1.11340623673155e-07 1.64183664533752e-06 7.3348943870154 "MT-CO2"
"LINC02434" -0.851672944671068 3.89690584138777 -6.1673814506437 9.65148885035506e-08 1.45848706976555e-06 7.47496204820524 "LINC02434"
"RNU2-2P" -0.850147710639416 3.56066856339981 -3.09396147228062 0.0031445624765742 0.00934522717496907 -2.53756652994646 "RNU2-2P"
